gender,description,price,stars,reduction
femme,s3 baskets oversize -blanc- rose-bleu,"4,200 DA",0.0,0.28
femme,capni baskets femme - tissu - noir,"1,599 DA",0.36,0.47
femme,baskets femme - tissu - blanc,"1,499 DA",0.38,0.5
femme,baskets femme - tissu - noir violet,"1,499 DA",0.43,0.5
femme,baskets femme - tissu - noir,"1,599 DA",0.35,0.47
femme,baskets femme - tissu - rose,"1,499 DA - 1,599 DA",0.38,0.43
femme,baskets femme - tissu - noir rouge,"1,599 DA",0.0,0.47
femme,love it basket femme - bleu nuit,"2,990 DA",0.5,0.5
femme,s3 baskets femme  - en tissu avec semelle compensée  - noir.,"3,200 DA",0.45,0.35
femme,qh shoes basket à enfiler en maille respirante pour femme- blanche,"3,200 DA",0.0,0.29
femme,s3 baskets tennis femme- en toile- noir,"3,500 DA",0.0,0.41
femme,adidas chaussures stan smith (unisexe),"6,800 DA",0.47000000000000003,0.31
femme,s3 baskets femme  - en tissu avec semelle compensée  - rose clair.,"3,200 DA",0.39,0.35
femme,baskets femme - tissu - rose,"1,599 DA",0.32999999999999996,0.47
femme,baskets femme - tissu - rouge,"1,499 DA",0.38,0.5
femme,s3 baskets oversize - blanche,"4,200 DA",0.4,0.28
femme,baskets femme - tissu - rose,"1,599 DA",0.38,0.47
femme,skechers basket femme - s128130/ccpr - gris,"7,700 DA",0.5,0.43
femme,capni baskets femme - tissu - rouge,"1,499 DA",0.39,0.4
femme,baskets femme - tissu - noir,"1,499 DA",0.3,0.5
femme,s3 baskets oversize - blanche et violet,"4,200 DA",0.0,0.32
femme,baskets femme - tissu - violet,"1,499 DA - 1,599 DA",0.39,0.5
femme,baskets femme - tissu - noir,"1,499 DA",0.3,0.5
femme,adidas basket femme advantage k - ef0212 - noir,"4,900 DA",0.44000000000000006,0.22
femme,s3 basket femme - simili cuir - blanche rose,"4,200 DA",0.43,0.32
femme,kalasity baby espadrilles bache bleu nuit a fleur femme,"1,200 DA",0.43,0.0
femme,s3 baskets oversize -beige et blanche,"4,200 DA",0.4,0.32
femme,baby espadrilles bache bleu ciel a fleur femme,990 DA,0.37,0.0
femme,s3 basket femme - simili cuir - beige et rose clair,"4,200 DA",0.5,0.32
femme,qh shoes basket à enfiler en maille respirante pour femme- bleu nuit,"3,200 DA",0.4,0.29
femme,s3 baskets oversize -beige / blanche,"4,200 DA",0.5,0.32
