gender,description,stars,reduction,new_brand,avg_price,color,uni
femme,s3 baskets oversize -blanc- rose-bleu,0.0,0.28,s3,4.2,None,1
femme,capni baskets femme - tissu - noir,0.36,0.47,capni,1.599,noir,1
femme,love it basket femme - bleu nuit,0.5,0.5,love it,2.99,bleu,1
femme,s3 baskets femme  - en tissu avec semelle compensée  - noir.,0.45,0.35,s3,3.2,None,1
femme,qh shoes basket à enfiler en maille respirante pour femme- blanche,0.0,0.29,qh shoes,3.2,blanche,1
femme,s3 baskets tennis femme- en toile- noir,0.0,0.41,s3,3.5,noir,1
femme,adidas chaussures stan smith (unisexe),0.47000000000000003,0.31,adidas,6.8,None,1
femme,s3 baskets femme  - en tissu avec semelle compensée  - rose clair.,0.39,0.35,s3,3.2,rose,1
femme,s3 baskets oversize - blanche,0.4,0.28,s3,4.2,blanche,1
femme,skechers basket femme - s128130/ccpr - gris,0.5,0.43,sketchers,7.7,gris,1
femme,capni baskets femme - tissu - rouge,0.39,0.4,capni,1.499,rouge,1
femme,s3 baskets oversize - blanche et violet,0.0,0.32,s3,4.2,violet blanche,0
femme,adidas basket femme advantage k - ef0212 - noir,0.44000000000000006,0.22,adidas,4.9,noir,1
femme,s3 basket femme - simili cuir - blanche rose,0.43,0.32,s3,4.2,rose blanche,0
femme,kalasity baby espadrilles bache bleu nuit a fleur femme,0.43,0.0,no name,1.2,bleu,1
femme,s3 baskets oversize -beige et blanche,0.4,0.32,s3,4.2,blanche,1
femme,baby espadrilles bache bleu ciel a fleur femme,0.37,0.0,no name,0.99,bleu,1
femme,s3 basket femme - simili cuir - beige et rose clair,0.5,0.32,s3,4.2,rose beige,0
femme,qh shoes basket à enfiler en maille respirante pour femme- bleu nuit,0.4,0.29,qh shoes,3.2,bleu,1
femme,s3 baskets oversize -beige / blanche,0.5,0.32,s3,4.2,blanche,1
femme,s3 basket femme - simil cuir - beige,0.47000000000000003,0.0,s3,5.9,beige,1
femme,tony-p baskets montante espadrilles en tissu pour femme noir,0.38,0.0,tony-p,3.65,noir,1
femme,tony-p baskets montante espadrilles en tissu pour femme bleu,0.37,0.51,tony-p,1.8,bleu,1
femme,s3 basket femme - simili cuir - blanc / beige,0.33999999999999997,0.0,s3,5.9,beige blanc,0
femme,s3 baskets oversize - blanche et moutarde,0.0,0.28,s3,4.2,blanche,1
femme,s3 baskets oversize -blanche,0.48,0.27,s3,4.5,None,1
femme,fashion&bella baskets oversize -rose clair -simili cuir,0.37,0.37,fashion&bella,3.9,None,1
femme,nike basket femme star runner 2 glitter gg cd6831-041 - noir,0.45,0.3,nike,5.53,noir,1
femme,s3 baskets femme  - en tissu avec semelle compensée  - blanc,0.2,0.35,s3,3.2,blanc,1
femme,s3 basket femme - simili cuir - blanche et violet,0.4,0.32,s3,4.2,violet blanche,0
femme,tony-p espadrilles en bache pour femme noir et blanche et rose,0.5,0.0,no name,3.65,rose blanche noir,0
femme,skechers basket femme - s128076/nvmt - bleu,0.5,0.0,sketchers,9.5,bleu,1
femme,adidas basket femme - eg4654 - noir,0.5,0.28,adidas,10.8,noir,1
femme,nike chaussure femme nike air max 720 - cw2537-500 - multicolore,0.0,0.0,nike,30.6,multicolore,1
femme,us polo chaussure femme blanc - 101032774.,0.5,0.0,us polo,9.95,blanc,1
femme,adidas basket femme - fv3139 - blanc,0.5,0.05,adidas,9.4,blanc,1
femme,adidas basket femme  -  fy8887 - multicouleur,0.48,0.0,adidas,12.8,None,1
femme,us polo chaussure femme noir - 101038422.,0.43,0.0,us polo,10.99,noir,1
femme,star baby espadrilles bache rose et blanche a fleur,0.4,0.0,no name,0.75,blanche rose,0
femme,us polo baskets  femme_100301306,0.45,0.6,us polo,4.44,None,1
femme,us polo chaussure femme blanc - 101038412,0.5,0.0,us polo,10.95,blanc,1
femme,skechers basket femme - s149060/bkpr - multicouleur,0.0,0.25,sketchers,7.9,None,1
femme,s3 basket femme effet peau de serpent -noir,0.37,0.32,s3,3.9,None,1
femme,love it basket femme - gris,0.0,0.47,love it,3.2,gris,1
femme,us polo chaussure pour femme - bleu - 100349568/100249571,0.47000000000000003,0.5,us polo,3.925,bleu,1
femme,esmara basket pour femme - air&fresh - noir,0.0,0.3,esmara,3.2,noir,1
femme,s3 baskets femme - en tissu - beige,0.42000000000000004,0.43,s3,2.8,beige,1
femme,s3 baskets femme a talon compensé - tissu - gris,0.42000000000000004,0.38,s3,3.2,gris,1
femme,bella basket pour femme noir et blache et jaune,0.3,0.0,bella,1.7,jaune noir,0
femme,nike basket nike react element 55    - cd2153 001 - gris\grand pointure,0.0,0.57,nike,12.5,None,1
femme,us polo baskets  femme - rouge,0.4,0.45,us polo,4.35,rouge,1
femme,b3d shoes basket femme souple  - daim / tissu -blanc,0.5,0.0,b3d shoes,5.5,None,1
femme,s3 baskets oversize -blanche et noir -simili cuir,0.38,0.41,s3,3.5,noir,1
femme,ideal shoes basket - simili cuir - blanc / rose,0.49000000000000005,0.0,ideal shoes,4.8,rose blanc,0
femme,puma basket femme - flyer runner ultra confortable orthopédique tendance 2021 - noir,0.41,0.25,puma,8.9,noir,1
femme,nike basket femme - cd4363-400 - bleu,0.1,0.0,nike,20.6,bleu,1
femme,qh shoes basket à enfiler en maille respirante pour femme- saumon,0.0,0.29,qh shoes,3.2,None,1
femme,s3 basket montante femme tendance- blanc et rose,0.4,0.34,s3,3.99,rose blanc,0
femme,er basket femme à platforme - orange / blanc,0.45,0.36,er,2.19,blanc orange,0
femme,b3d shoes basket femme souple  - daim / tissu - nude,0.0,0.0,b3d shoes,5.5,None,1
femme,ideal shoes basket - simili cuir - blanc /  beige,0.5,0.0,ideal shoes,4.8,beige blanc,0
femme,adidas chaussure femme originals equipment gazelle eqt ee5149,0.0,0.0,adidas,12.8,None,1
femme,megawell basket femme - souple et orthopédique - noir & blanc,0.5,0.0,megawell,4.7,blanc noir,0
femme,sport baskets femmes - noir,0.4,0.15,sport,3.5,noir,1
femme,love it basket femme - beige,0.0,0.5,love it,2.99,beige,1
femme,er basket femme à platforme - jaune / blanc,0.47000000000000003,0.36,er,2.17,blanc jaune,0
femme,us polo chaussure femme blanc - 101038439,0.0,0.0,us polo,10.95,blanc,1
femme,tongfei basket femme tongfei,0.0,0.0,tongfei,2.9,None,1
femme,skechers basket femme - s155518/mlt - multicouleur,0.1,0.0,sketchers,11.9,None,1
femme,girlhood basket femme - noir,0.0,0.33,girlhood,3.99,noir,1
femme,erynn basket femme a scratch - léopard / noir / blanc,0.0,0.25,erynn,3.0,blanc noir,0
femme,tongfei basket femme tongfei,0.0,0.0,tongfei,2.9,None,1
femme,bella baskets pour femme noir et blanche,0.0,0.58,bella,1.8,blanche noir,0
femme,adidas basket femme vl court 2.0 sport et aventures tendance eg6155 - blanc et rose,0.48,0.0,adidas,8.9,rose blanc,0
femme,confomed basket femme - souple et orthopédique - rose,0.0,0.0,confomed,4.2,rose,1
femme,us polo basketss femme - bleu ciel,0.0,0.0,us polo,9.95,bleu,1
femme,s3 basket femme - simili cuir / tissu - blanc / rose,0.42000000000000004,0.39,s3,3.6,rose blanc,0
femme,fashion&bella basket femme simili cuir - blanc / jaune,0.5,0.13,fashion&bella,3.9,jaune blanc,0
femme,us polo basketss femme - blanc,0.32999999999999996,0.45,us polo,4.35,blanc,1
femme,s3 baskets oversize simili cuir -blanche et verte,0.45,0.35,s3,3.2,verte,1
femme,esmara baskets – esmara – femme – noir,0.3,0.33,esmara,3.0,noir,1
femme,killy basket femme souple  - daim / tissu - noir /beige,0.0,0.31,killy,3.8,noir,1
femme,megawell basket femme - souple et orthopédique - bleu & blanc,0.0,0.0,megawell,4.7,blanc bleu,0
femme,megawell basket femme - souple et orthopédique - blanc,0.0,0.0,megawell,4.7,blanc,1
femme,kalasity baskets espadrilles en bache pour femme beige et doré et blanche,0.43,0.53,kalasity,1.7,blanche beige,0
femme,adidas basket femme - fw8822 - noir,0.0,0.0,adidas,14.9,noir,1
femme,b3d shoes basket pour femme  pink,0.0,0.42,b3d shoes,4.9,pink,1
femme,us polo chaussure femme noir - 101050756,0.0,0.0,us polo,11.9,noir,1
femme,adidas 37 originals superstar 80s w noir,0.0,0.0,no name,10.62,noir,1
