name,bottom,link
Crispy Burger,4.3 • $$ • Sandwichs • Tacos • Burger,https://food.jumia.dz/restaurant/a3co/crispy-burger
Baba Aroudj-Djelloul,4.4 • $ • Burger,https://food.jumia.dz/restaurant/a8ik/baba-aroudj-djelloul
Tacos+,4.3 • $ • Burger • Salades • Sandwichs • Tacos,https://food.jumia.dz/restaurant/a1fd/o-tacosplus
Oui Oui Döner Cheraga,4 • $ • Kebab,https://food.jumia.dz/restaurant/a3gz/oui-oui-doner-cheraga
,,https://food.jumia.dz/restaurant/a3wh/oui-oui-doner-dely-ibrahim
,,https://food.jumia.dz/restaurant/a9tw/djelloul-burger-cheraga
,,https://food.jumia.dz/restaurant/a1yl/djelloul-burger-ouled-fayet
L'Avenue,4 • $$ • Café • Cuisine Française • pâtes • Pizza • Poissons • Salades • Sucré - Desserts • Cuisine Méditerranéenne,https://food.jumia.dz/restaurant/a2mk/l-avenue
O'Tacos,4.3 • $$ • Sucré - Desserts • Tacos,https://food.jumia.dz/restaurant/a6bo/otacos
Abracadabra Kebab Chéraga,4.3 • $$ • Kebab,https://food.jumia.dz/restaurant/a3gj/abracadabra-kebab-cheraga
Baba Aroudj-Djelloul,4.4 • $ • Burger,https://food.jumia.dz/restaurant/a8ik/baba-aroudj-djelloul
La Marguerite,4.3 • $$ • Sucré - Desserts • Tacos • Pizza,https://food.jumia.dz/restaurant/a4mv/la-marguerite
Al Forno,4.2 • $$ • Pizza,https://food.jumia.dz/restaurant/a7wj/al-forno-vendor-2
Taj Mahal Cheraga,4.4 • $$$ • Grillades • Sucré - Desserts • Cuisine Indienne,https://food.jumia.dz/restaurant/a0cp/taj-mahal-cheraga
Pizza Nostra Feu de Bois Cheraga,4.2 • $$ • Sucré - Desserts • Pizza,https://food.jumia.dz/restaurant/a7fb/pizza-nostra-feu-de-bois-cheraga
Anes Food Family,4.4 • $ • Burger • Café • Chawarma • Crêpes • Gaufres • pâtes • Salades • Sandwichs • Sucré - Desserts • Tacos • Pizza,https://food.jumia.dz/restaurant/a9wg/anes-food-family
Tandoor,3.9 • $$ • Cuisine Indienne,https://food.jumia.dz/restaurant/a1nj/tandoor
Au Feu de Bois,4 • $$ • Pizza,https://food.jumia.dz/restaurant/a8gm/feu-de-bois
Oui Oui Döner Cheraga,4 • $ • Kebab,https://food.jumia.dz/restaurant/a3gz/oui-oui-doner-cheraga
Mega pizza,4.4 • $ • Crêpes • Gaufres • Sucré - Desserts • Tacos • Pizza,https://food.jumia.dz/restaurant/a5ru/mega-pizza
